Paul Thomas Anderson,"['tt1560747', 'tt0469494', 'tt0272338', 'tt0175880', 'tt0118749', 'tt1791528']",[]
Robert Altman,"['tt0075612', 'tt0070334', 'tt0066026', 'tt0280707', 'tt0073440']",[]
Kenneth Branagh,"['tt0800369', 'tt0101669', 'tt0109836']",[]
Nicole Holofcener,"['tt0878835', 'tt2390361']",[]
Lee Tamahori,"['tt0435705', 'tt0119051']",[]
Dan Gilroy,['tt2872718'],[]
Barbet Schroeder,"['tt0105414', 'tt0113552']",[]
Wes Craven,"['tt0087800', 'tt0120082', 'tt0111686', 'tt0257516', 'tt0134084', 'tt0166943', 'tt0117571', 'tt0077681']",[]
John McTiernan,"['tt0264395', 'tt0093773', 'tt0095016', 'tt0112864', 'tt0099810', 'tt0107362']",[]
Simon West,"['tt0144214', 'tt2231253', 'tt0472399', 'tt1764651', 'tt1656186']",[]
Stephen Sommers,"['tt0120616', 'tt0118956', 'tt1046173']",[]
David Cronenberg,"['tt0120907', 'tt0102511', 'tt0094964', 'tt0765443', 'tt0076590', 'tt2172584', 'tt0073705', 'tt0081455', 'tt1480656', 'tt0399146']",[]
Steven Spielberg,"['tt0067023', 'tt0107290', 'tt0264464', 'tt1568911', 'tt0367882', 'tt0983193', 'tt0212720', 'tt3682448', 'tt0102057', 'tt0120815', 'tt0087469', 'tt0082971', 'tt0407304', 'tt0443272', 'tt0097576', 'tt0408306', 'tt0108052', 'tt0119567', 'tt0073195', 'tt0181689']",[]
Dean Parisot,"['tt0369441', 'tt0177789']",[]
David Gordon Green,"['tt0453548', 'tt0910936', 'tt0360130']",[]
P.J. Hogan,['tt0119738'],[]
Howard Zieff,"['tt0102492', 'tt0110613', 'tt0081375']",[]
Rob Cohen,"['tt0232500', 'tt0295701', 'tt3181822', 'tt0859163']",[]
Daniel Myrick,['tt0185937'],[]
 Eduardo Sánchez,['tt0185937'],[]
Wolfgang Reitherman,['tt0061852'],[]
Guy Ritchie,"['tt1032755', 'tt0988045', 'tt0208092']",[]
John G. Avildsen,"['tt0075148', 'tt0105159', 'tt0087538', 'tt0100507']",[]
John Frankenheimer,"['tt0122690', 'tt0116654', 'tt0073018', 'tt0184858']",[]
Carlo Carlei,['tt1645131'],[]
Jim Sharman,['tt0073629'],[]
Kevin Reynolds,"['tt0102798', 'tt0118531', 'tt0375154', 'tt0114898']",[]
Michael Bay,"['tt0117500', 'tt0213149', 'tt0399201', 'tt0120591', 'tt1980209', 'tt0112442']",[]
Ang Lee,"['tt0388795', 'tt0454876', 'tt0114388', 'tt0119349', 'tt0286716']",[]
Richard Linklater,"['tt0112471', 'tt0106677', 'tt2209418', 'tt1065073', 'tt0120238', 'tt0381681', 'tt0405296', 'tt0332379']",[]
Noah Baumbach,"['tt0113537', 'tt2872462', 'tt1791682', 'tt0757361', 'tt1234654', 'tt0367089']",[]
Ron Clements,"['tt0103639', 'tt0097757', 'tt0119282']",[]
 John Musker,"['tt0103639', 'tt0097757', 'tt0119282']",[]
Trey Parker,"['tt0158983', 'tt0372588']",[]
David Lynch,"['tt0087182', 'tt0116922', 'tt0080678', 'tt0090756', 'tt0166924', 'tt0105665', 'tt0100935']",[]
John Michael McDonagh,"['tt2234003', 'tt1540133']",[]
Anton Corbijn,"['tt1972571', 'tt1440728']",[]
George Lucas,"['tt0120915', 'tt0066434', 'tt0069704', 'tt0121766', 'tt0076759', 'tt0121765']",[]
Jeremiah S. Chechik,"['tt0097958', 'tt0106387', 'tt0116095']",[]
Rick Famuyiwa,['tt3850214'],[]
Sidney Lumet,"['tt0070666', 'tt0084855', 'tt0072890', 'tt0074958']",[]
David Fincher,"['tt1568346', 'tt2267998', 'tt0119174', 'tt0103644', 'tt0258000', 'tt0114369', 'tt0137523', 'tt1285016', 'tt0421715', 'tt0443706']",[]
Steven Zaillian,"['tt0108065', 'tt0120633']",[]
Michael Powell,['tt0054167'],[]
Robert Benton,"['tt0308383', 'tt0079417']",[]
Joe Dante,"['tt0082533', 'tt0318155', 'tt0093260', 'tt0099700', 'tt0087363']",[]
John Dahl,"['tt0105226', 'tt0128442', 'tt0206314']",[]
