Tom Ellery,['tt0101414'],[]
Kelly Asbury,['tt0101414'],[]
Robert Lence,['tt0101414'],[]
Matt Reeves,['tt1228987'],[]
John Ajvide Lindqvist,"['tt1228987', 'tt1228987']",[]
Mark Hammer,['tt2140619'],[]
Thomas Dean Donnelly,['tt0816462'],[]
 Joshua Oppenheimer,['tt0816462'],[]
 Sean Hood,['tt0816462'],[]
Robert E. Howard,"['tt0816462', 'tt0970452']",[]
A.S. Byatt,['tt0256276'],[]
David Henry Hwang,['tt0256276'],[]
Laura Jones,['tt0256276'],[]
Neil LaBute,['tt0256276'],[]
Paul Gallico,['tt0069113'],[]
Stirling Silliphant,['tt0069113'],[]
Wendell Mayes,"['tt0069113', 'tt0052561']",[]
Billy Ray,"['tt0109456', 'tt0109456', 'tt1392170', 'tt0324127', 'tt1535109']",[]
Matthew Chapman,['tt0109456'],[]
Jonathan Nolan,"['tt0482571', 'tt1345836', 'tt0209144', 'tt0816692', 'tt0468569']",[]
Christopher Nolan,"['tt0482571', 'tt1345836', 'tt1345836', 'tt0372784', 'tt0209144', 'tt1375666', 'tt0468569', 'tt0468569']",[]
Christopher Priest,['tt0482571'],[]
Charles Randolph,"['tt0758752', 'tt1596363', 'tt0289992']",[]
Edward Zwick,"['tt0758752', 'tt0325710', 'tt0133952', 'tt1034303']",[]
Marshall Herskovitz,"['tt0758752', 'tt0325710']",[]
Jamie Reidy,['tt0758752'],[]
Dan Harmon,"['tt0385880', 'tt0385880']",[]
Rob Schrab,"['tt0385880', 'tt0385880']",[]
Pamela Pettler,['tt0385880'],[]
Gary DeVore,"['tt0091875', 'tt0091875']",[]
Jimmy Huston,['tt0091875'],[]
Andrew W. Marlowe,"['tt0146675', 'tt0164052', 'tt0164052', 'tt0118571']",[]
Callie Khouri,['tt0103074'],[]
James Cameron,"['tt0088247', 'tt0096754', 'tt0120338', 'tt0114558', 'tt0114558', 'tt0499549', 'tt0090605', 'tt0090605', 'tt0103064', 'tt0089880', 'tt1340138', 'tt0111503']",[]
 Gale Anne Hurd,['tt0088247'],[]
William Wisher Jr.,"['tt0088247', 'tt0113492', 'tt0113492', 'tt0204313']",[]
David Twohy,"['tt0094919', 'tt0119173', 'tt0134847', 'tt0106977', 'tt0106977', 'tt0971209', 'tt1411250']",[]
 Mick Garris,['tt0094919'],[]
John Brancato,"['tt0438488', 'tt0119174', 'tt0327554', 'tt0327554', 'tt0986263']",[]
 Michael Ferris,"['tt0438488', 'tt0119174']",[]
Diablo Cody,"['tt0467406', 'tt1131734', 'tt1625346']",[]
John Wagner,"['tt0113492', 'tt1343727', 'tt0399146']",[]
Carlos Ezquerra,"['tt0113492', 'tt1343727']",[]
Michael De Luca,"['tt0113492', 'tt0101917', 'tt0113409']",[]
Steven E. de Souza,"['tt0113492', 'tt0095016', 'tt0102789', 'tt0102070', 'tt0099423']",[]
Oliver Stone,"['tt0102138', 'tt0077928', 'tt0146838', 'tt0091763', 'tt0086250', 'tt0096969', 'tt0110632']",[]
Zachary Sklar,['tt0102138'],[]
Jim Garrison,['tt0102138'],[]
Jim Marrs,['tt0102138'],[]
Kevin Smith,"['tt0118842', 'tt0120655', 'tt0109445', 'tt0113749', 'tt3099498', 'tt0261392']",[]
Barry L. Levy,['tt0443274'],[]
Michael Walker,['tt0221069'],[]
Paul W.S. Anderson,"['tt0120804', 'tt1855325']",[]
M. Night Shyamalan,"['tt0368447', 'tt0167404', 'tt0164912', 'tt0286106', 'tt0217869']",[]
Quentin Tarantino,"['tt0105236', 'tt0105236', 'tt0378194', 'tt0378194', 'tt0361748', 'tt0108399', 'tt0110912', 'tt0119396', 'tt0116367', 'tt0266697', 'tt0266697', 'tt0110632']",[]
Roger Avary,"['tt0105236', 'tt0110265', 'tt0292644', 'tt0442933', 'tt0110912', 'tt0384537']",[]
Jim Cox,['tt0100477'],[]
Karey Kirkpatrick,"['tt0100477', 'tt2017020', 'tt0371724']",[]
Byron Simpson,['tt0100477'],[]
Margery Sharp,['tt0100477'],[]
Woody Allen,"['tt0497465', 'tt0075686', 'tt0107507', 'tt2334873', 'tt1605783', 'tt0118954', 'tt0109348', 'tt0091167', 'tt0416320']",[]
Robert Towne,"['tt0071315', 'tt0073692', 'tt0099371', 'tt0099371', 'tt0073918', 'tt0120755', 'tt0117060']",[]
Eric Warren Singer,['tt1800241'],[]
 David O. Russell,['tt1800241'],[]
Justin Haythe,['tt0959337'],[]
Richard Yates,['tt0959337'],[]
