Karyn Kusama, W, poc, , http://www.indiewire.com/2015/05/84-films-by-and-about-women-of-color-courtesy-of-ava-duvernay-and-the-good-people-of-twitter-203617/
Pouran Derahkandeh, W, poc, , http://www.indiewire.com/2015/05/84-films-by-and-about-women-of-color-courtesy-of-ava-duvernay-and-the-good-people-of-twitter-203617/
So-yong Kim, W, poc, , http://www.indiewire.com/2015/05/84-films-by-and-about-women-of-color-courtesy-of-ava-duvernay-and-the-good-people-of-twitter-203617/
Leslie Harris, W, poc, , http://www.indiewire.com/2015/05/84-films-by-and-about-women-of-color-courtesy-of-ava-duvernay-and-the-good-people-of-twitter-203617/
Mira Nair, W, poc, , http://www.indiewire.com/2015/05/84-films-by-and-about-women-of-color-courtesy-of-ava-duvernay-and-the-good-people-of-twitter-203617/
Kathleen Collins, W, poc, , http://www.indiewire.com/2015/05/84-films-by-and-about-women-of-color-courtesy-of-ava-duvernay-and-the-good-people-of-twitter-203617/
Zoya Akhtar, W, poc, , http://www.indiewire.com/2015/05/84-films-by-and-about-women-of-color-courtesy-of-ava-duvernay-and-the-good-people-of-twitter-203617/
Tina Mabry, W, poc, , http://www.indiewire.com/2015/05/84-films-by-and-about-women-of-color-courtesy-of-ava-duvernay-and-the-good-people-of-twitter-203617/
Alison Swan, W, poc, , http://www.indiewire.com/2015/05/84-films-by-and-about-women-of-color-courtesy-of-ava-duvernay-and-the-good-people-of-twitter-203617/
Aurora Guerrero, W, poc, LGBTQ, http://www.stuffmomnevertoldyou.com/blogs/27-female-directors-of-color-you-should-watch.htm/ wiki
Tanya Hamilton, W, poc, , http://www.indiewire.com/2015/05/84-films-by-and-about-women-of-color-courtesy-of-ava-duvernay-and-the-good-people-of-twitter-203617/
Kayo Hatta, W, poc, , http://www.indiewire.com/2015/05/84-films-by-and-about-women-of-color-courtesy-of-ava-duvernay-and-the-good-people-of-twitter-203617/
Patricia Cardoso, W, poc, , http://www.indiewire.com/2015/05/84-films-by-and-about-women-of-color-courtesy-of-ava-duvernay-and-the-good-people-of-twitter-203617/
Alice Wu, W, poc, , http://www.indiewire.com/2015/05/84-films-by-and-about-women-of-color-courtesy-of-ava-duvernay-and-the-good-people-of-twitter-203617/
Judy Kibinge, W, poc, , http://www.indiewire.com/2015/05/84-films-by-and-about-women-of-color-courtesy-of-ava-duvernay-and-the-good-people-of-twitter-203617/
Naomi Kawase, W, poc, , http://www.indiewire.com/2015/05/84-films-by-and-about-women-of-color-courtesy-of-ava-duvernay-and-the-good-people-of-twitter-203617/
Randa Chahal Sabag, W, poc, , http://www.indiewire.com/2015/05/84-films-by-and-about-women-of-color-courtesy-of-ava-duvernay-and-the-good-people-of-twitter-203617/
Moufida Tlatli, W, poc, , http://www.indiewire.com/2015/05/84-films-by-and-about-women-of-color-courtesy-of-ava-duvernay-and-the-good-people-of-twitter-203617/
Donna Deitch, W, , LGBTQ, http://www.indiewire.com/2015/05/84-films-by-and-about-women-of-color-courtesy-of-ava-duvernay-and-the-good-people-of-twitter-203617// wiki
Niki Caro, W, , , http://www.indiewire.com/2015/05/84-films-by-and-about-women-of-color-courtesy-of-ava-duvernay-and-the-good-people-of-twitter-203617/
Angela Bassett, W, poc, , http://www.indiewire.com/2015/05/84-films-by-and-about-women-of-color-courtesy-of-ava-duvernay-and-the-good-people-of-twitter-203617/
Joan Chen, W, poc, , http://www.indiewire.com/2015/05/84-films-by-and-about-women-of-color-courtesy-of-ava-duvernay-and-the-good-people-of-twitter-203617/
Marialy Rivas, W, poc, , http://www.indiewire.com/2015/05/84-films-by-and-about-women-of-color-courtesy-of-ava-duvernay-and-the-good-people-of-twitter-203617/
